PANID	WEEK	UNITS	OUTLET	DOLLARS	IRI_KEY	COLUPC
1223768	1159	1	GR	5.59	234140	11101310021
1126730	1126	1	GR	5.59	652159	11101310021
1131458	1124	1	GR	5.59	652159	11101310021
1133892	1159	1	GR	5.59	652159	11101310021
1141077	1160	1	GR	5.59	652159	11101310021
1150284	1157	1	GR	5.59	652159	11101310021
1192724	1159	1	GR	5.59	652159	11101310021
1224147	1158	1	GR	5.59	652159	11101310021
1228692	1122	1	GR	5.59	652159	11101310021
1242826	1117	1	GR	5.59	652159	11101310021
1242826	1137	1	GR	5.59	652159	11101310021
1302307	1136	1	GR	5.59	652159	11101310021
1303289	1115	1	GR	5.59	652159	11101310021
1314062	1148	1	GR	5.59	652159	11101310021
1403386	1115	1	GR	5.59	652159	11101310021
1403386	1127	1	GR	5.59	652159	11101310021
1815399	1125	1	GR	5.59	652159	11101310021
1815399	1130	1	GR	5.59	652159	11101310021
1815399	1135	1	GR	5.59	652159	11101310021
1815399	1139	1	GR	5.59	652159	11101310021
1815399	1147	1	GR	5.59	652159	11101310021
1815399	1151	1	GR	5.59	652159	11101310021
1815399	1162	1	GR	5.59	652159	11101310021
1100479	1134	1	GR	5.59	248128	11101310021
1184705	1165	1	GR	5.59	248128	11101310021
1217521	1126	1	GR	5.59	248128	11101310021
1220160	1163	1	GR	5.59	248128	11101310021
1230706	1141	1	GR	5.59	248128	11101310021
1318741	1123	1	GR	5.59	248128	11101310021
1401570	1155	1	GR	5.59	248128	11101310021
1809699	1133	1	GR	5.59	248128	11101310021
3374876	1146	1	GR	5.95	233779	11101310021
3374876	1149	1	GR	5.95	233779	11101310021
3374876	1154	1	GR	5.95	233779	11101310021
3359653	1146	1	GR	3.89	233779	11101320022
3370049	1161	1	GR	3.89	233779	11101320022
3374876	1154	1	GR	3.89	233779	11101320022
1110346	1130	2	GR	3.38	248128	11121802281
1112268	1165	2	GR	4.38	248128	11121802281
1115972	1163	2	GR	4.38	248128	11121802281
1117846	1141	1	GR	2.19	248128	11121802281
1120550	1163	2	GR	4.38	248128	11121802281
1132746	1130	2	GR	3.38	248128	11121802281
1133785	1130	2	GR	3.38	248128	11121802281
1134544	1130	2	GR	3.38	248128	11121802281
1140202	1164	2	GR	4.38	248128	11121802281
1142026	1152	2	GR	4.38	248128	11121802281
1142745	1130	2	GR	3.38	248128	11121802281
1144485	1131	2	GR	3.38	248128	11121802281
1146423	1131	1	GR	1.69	248128	11121802281
1148346	1152	2	GR	4.38	248128	11121802281
1198036	1163	2	GR	4.38	248128	11121802281
1200774	1131	2	GR	3.38	248128	11121802281
1201715	1118	1	GR	2.19	248128	11121802281
1203315	1163	2	GR	4.38	248128	11121802281
1204420	1130	2	GR	3.38	248128	11121802281
1212878	1130	2	GR	3.38	248128	11121802281
1228874	1130	2	GR	3.38	248128	11121802281
1228874	1163	2	GR	4.38	248128	11121802281
1245084	1131	2	GR	3.38	248128	11121802281
1245746	1164	2	GR	4.38	248128	11121802281
1304162	1117	1	GR	2.19	248128	11121802281
1304287	1130	2	GR	3.38	248128	11121802281
1305623	1164	2	GR	4.38	248128	11121802281
1305961	1130	2	GR	3.38	248128	11121802281
1305961	1153	2	GR	4.38	248128	11121802281
1315580	1164	2	GR	4.38	248128	11121802281
1403592	1130	2	GR	3.38	248128	11121802281
1403931	1164	2	GR	4.38	248128	11121802281
1404764	1163	2	GR	4.38	248128	11121802281
1807289	1152	2	GR	4.38	248128	11121802281
1809798	1130	2	GR	3.38	248128	11121802281
3130369	1138	1	GR	0.98	653776	11121802749
1146423	1131	1	GR	1.69	248128	11121802818
1326108	1117	1	GR	1.69	248128	11121802818
1404509	1134	1	GR	1.69	248128	11121802818
1103440	1125	1	GR	1.19	213290	11121804281
1120022	1123	1	GR	1.19	213290	11121804281
1122911	1144	1	GR	1.19	213290	11121804281
1127811	1145	1	GR	1.19	213290	11121804281
1133280	1120	1	GR	1.19	213290	11121804281
1137026	1134	1	GR	1.19	213290	11121804281
1183541	1154	1	GR	1.29	213290	11121804281
1187799	1119	1	GR	1.19	213290	11121804281
1201699	1159	1	GR	0.99	213290	11121804281
1202507	1141	1	GR	1.19	213290	11121804281
1202515	1143	1	GR	1.19	213290	11121804281
1202515	1146	1	GR	1.19	213290	11121804281
1202515	1148	1	GR	1.19	213290	11121804281
1202515	1152	1	GR	1.19	213290	11121804281
1215483	1141	1	GR	1.19	213290	11121804281
1215855	1150	1	GR	1.19	213290	11121804281
1215855	1160	2	GR	1.98	213290	11121804281
1305912	1127	1	GR	1.19	213290	11121804281
1305912	1135	1	GR	1.19	213290	11121804281
1310680	1126	1	GR	1.19	213290	11121804281
1320861	1120	1	GR	1.19	213290	11121804281
1401133	1137	1	GR	1.19	213290	11121804281
1809913	1150	1	GR	1.19	213290	11121804281
1100503	1128	1	GR	1.19	648764	11121804281
1131201	1154	1	GR	1.29	648764	11121804281
1132746	1162	1	GR	0.99	648764	11121804281
1134320	1114	1	GR	1.19	648764	11121804281
1134320	1146	1	GR	1.19	648764	11121804281
1134320	1159	1	GR	0.99	648764	11121804281
1148585	1148	1	GR	1.19	648764	11121804281
1148585	1156	2	GR	2.58	648764	11121804281
1148585	1157	1	GR	1.29	648764	11121804281
1148585	1164	1	GR	0.99	648764	11121804281
1202507	1115	1	GR	1.19	648764	11121804281
1202507	1132	1	GR	1.19	648764	11121804281
1202507	1151	1	GR	1.19	648764	11121804281
1202515	1147	1	GR	1.19	648764	11121804281
1202515	1151	1	GR	1.19	648764	11121804281
1207357	1144	1	GR	1.19	648764	11121804281
1215855	1134	1	GR	1.19	648764	11121804281
1215855	1138	1	GR	1.19	648764	11121804281
1215855	1138	1	GR	1.19	648764	11121804281
1215855	1142	1	GR	1.19	648764	11121804281
1215855	1150	1	GR	1.19	648764	11121804281
1215855	1152	1	GR	1.19	648764	11121804281
1215855	1153	1	GR	1.19	648764	11121804281
1215855	1155	1	GR	1.29	648764	11121804281
1215855	1162	1	GR	0.99	648764	11121804281
1215855	1163	2	GR	1.98	648764	11121804281
1218578	1115	1	GR	1.19	648764	11121804281
1230326	1127	1	GR	1.19	648764	11121804281
1306852	1119	1	GR	1.19	648764	11121804281
1306852	1132	2	GR	2.38	648764	11121804281
1306852	1141	2	GR	2.38	648764	11121804281
1306852	1153	2	GR	2.38	648764	11121804281
1319558	1116	1	GR	1.19	648764	11121804281
1401133	1136	1	GR	1.19	648764	11121804281
1105213	1123	1	GR	1.19	248128	11121804281
1112268	1160	1	GR	1.19	248128	11121804281
1129940	1123	1	GR	1.19	248128	11121804281
1130302	1160	3	GR	3.57	248128	11121804281
1130443	1161	2	GR	2.38	248128	11121804281
1130443	1161	2	GR	2.38	248128	11121804281
1130443	1162	2	GR	2.38	248128	11121804281
1137026	1142	1	GR	1.19	248128	11121804281
1141937	1146	1	GR	1.19	248128	11121804281
1142224	1158	1	GR	1.19	248128	11121804281
1144485	1119	1	GR	1.19	248128	11121804281
1144485	1127	2	GR	2.38	248128	11121804281
1146423	1142	1	GR	1.19	248128	11121804281
1146423	1144	1	GR	1.19	248128	11121804281
1146423	1159	1	GR	1.19	248128	11121804281
1196873	1117	1	GR	1.19	248128	11121804281
1198036	1144	3	GR	3.57	248128	11121804281
1202507	1123	2	GR	2.38	248128	11121804281
1202507	1131	1	GR	1.19	248128	11121804281
1202507	1134	1	GR	1.19	248128	11121804281
1202507	1145	1	GR	1.19	248128	11121804281
1202507	1147	1	GR	1.19	248128	11121804281
1202507	1149	1	GR	1.19	248128	11121804281
1203877	1117	1	GR	1.19	248128	11121804281
1210492	1143	1	GR	1.19	248128	11121804281
1216432	1146	1	GR	1.19	248128	11121804281
1221291	1157	1	GR	1.19	248128	11121804281
1225888	1142	1	GR	1.19	248128	11121804281
1228874	1161	1	GR	1.19	248128	11121804281
1300699	1142	1	GR	1.19	248128	11121804281
